메뉴명,가격,카테고리,판매상태,이미지파일명,설명
라라스윗 저당팝콘 (콘스프),2000,디저트,판매중,menu_001.jpg,
라라스윗 저당팝콘 (카라멜),2000,디저트,판매중,menu_002.jpg,
라라스윗 저당팝콘 (초코범벅),2000,디저트,판매중,menu_003.jpg,
라라스윗 헤이즐넛초코웨하스(2EA),1200,디저트,판매중,,
요거트 아이스크림,3000,아이스크림,판매중,menu_005.jpg,
딸기 요거트 아이스크림,3500,아이스크림,판매중,menu_006.jpg,
초콜릿 요거트 아이스크림,3500,아이스크림,판매중,menu_007.jpg,
초코쉘 요거트 아이스크림,3900,아이스크림,판매중,menu_008.jpg,
사과잼 와플,2500,와플,판매중,menu_009.jpg,
초코 와플,3000,와플,판매중,menu_010.jpg,
오레오 와플,3000,와플,판매중,menu_011.jpg,
바닐라 아이스크림 와플,3500,와플,판매중,,
(NEW)타코야끼(4알),2500,튀김요리,판매중,menu_013.jpg,
순살치킨,6900,튀김요리,판매중,menu_014.jpg,
감자튀김,4900,튀김요리,판매중,menu_015.jpg,
칠리갈릭 감자튀김,5600,튀김요리,판매중,menu_016.jpg,
소떡소떡,2500,튀김요리,판매중,menu_017.jpg,
치즈스틱 2개,1500,튀김요리,판매중,menu_018.jpg,
콜팝,3900,튀김요리,판매중,menu_019.jpg,
양념김말이튀김 4p,2000,튀김요리,판매중,menu_020.jpg,
팔도 꼬꼬면!,4000,면요리,판매중,menu_021.jpg,
삼양 우지 짜르르,4000,면요리,판매중,menu_022.jpg,
신라면 로제(매콤크림 토마토),4000,면요리,판매중,menu_023.jpg,
신라면 GOLD,4000,면요리,판매중,menu_024.jpg,
농심 10분조리 칼국수,5900,면요리,판매중,menu_025.jpg,
라면,3500,면요리,판매중,menu_026.jpg,
짜파게티,3500,면요리,판매중,menu_027.jpg,
삼양우지라면,4500,면요리,판매중,menu_028.jpg,
배홍동 비빔라면,3500,면요리,판매중,menu_029.jpg,
불닭볶음면,3500,면요리,판매중,menu_030.jpg,
까르보불닭볶음면,4000,면요리,판매중,menu_031.jpg,
짜계치,4500,면요리,판매중,menu_032.jpg,
불계치,4500,면요리,판매중,menu_033.jpg,
새우튀김우동,6500,면요리,판매중,menu_034.jpg,
김치볶음밥,6000,식사류,판매중,menu_035.jpg,
엔젤헤어치즈 김치볶음밥,6500,식사류,판매중,menu_036.jpg,
새우튀김볶음밥,6000,식사류,판매중,menu_037.jpg,
잡채볶음밥,6500,식사류,판매중,menu_038.jpg,
스팸계란밥,6500,식사류,판매중,menu_039.jpg,
제육덮밥,6900,식사류,판매중,menu_040.jpg,
쭈꾸미불고기덮밥,6900,식사류,판매중,menu_041.jpg,
치즈닭갈비덮밥,6900,식사류,판매중,menu_042.jpg,
옛날 돈까스,7500,식사류,판매중,menu_043.jpg,
옛날 치즈돈까스,7900,식사류,판매중,menu_044.jpg,
도도 떡볶이,5900,떡볶이,판매중,menu_045.jpg,
도도 라볶이,6500,떡볶이,판매중,menu_046.jpg,
도도 로제떡볶이,6900,떡볶이,판매중,menu_047.jpg,
바나나킥 스노우,3900,스노우 음료,판매중,menu_048.jpg,
죠리퐁 스노우,3900,스노우 음료,판매중,menu_049.jpg,
오레오 스노우,3900,스노우 음료,판매중,menu_050.jpg,
리얼 초코 스노우,4300,스노우 음료,판매중,menu_051.jpg,
요거트 스노우,4500,스노우 음료,판매중,menu_052.jpg,
딸기 요거트 스노우,4500,스노우 음료,판매중,menu_053.jpg,
복숭아 아이스티,3500,음료,판매중,menu_054.jpg,
마시멜로 초콜릿 라떼,3900,음료,판매중,menu_055.jpg,
스위트 딸기라떼,3900,음료,판매중,menu_056.jpg,
달고나 라떼,4300,음료,판매중,menu_057.jpg,
그린티 라떼,4300,음료,판매중,menu_058.jpg,
돈시몬 오렌지쥬스,3900,음료,판매중,menu_059.jpg,
레몬에이드,4500,음료,판매중,menu_060.jpg,
자몽에이드,4500,음료,판매중,menu_061.jpg,
청포도에이드,4500,음료,판매중,menu_062.jpg,
코카콜라,2500,음료,판매중,menu_063.jpg,
제로콜라,2500,음료,판매중,menu_064.jpg,
칠성사이다,2500,음료,판매중,menu_065.jpg,
허브티,4500,음료,판매중,menu_066.jpg,
우유,2000,음료,판매중,menu_067.jpg,
아메리카노,3500,커피 음료,판매중,menu_068.jpg,
디카페인 콜드브루,5500,커피 음료,판매중,menu_069.jpg,
카페라떼,3900,커피 음료,판매중,menu_070.jpg,
바닐라 라떼,4300,커피 음료,판매중,menu_071.jpg,
카페 모카,4300,커피 음료,판매중,menu_072.jpg,
(ICED) 아샷추!,4000,커피 음료,판매중,menu_073.jpg,
진짜 생과일 수박주스 (시즌),5900,신메뉴(NEW),판매중,menu_074.jpg,
텐차(말차) 라떼,4500,신메뉴(NEW),판매중,menu_075.jpg,
텐차(말차) 딸기 라떼,4800,신메뉴(NEW),판매중,menu_076.jpg,
